created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2020-02-21 23:08:36 IST,371913,24.70000,88.50000,22.10000,52.50000,3.48132,1.56522,0.29163,,,,
2020-02-21 23:08:53 IST,371914,25.20000,88.70000,22.90000,51.50000,3.64736,1.57263,0.28920,,,,
2020-02-21 23:09:10 IST,371915,25.30000,88.80000,23.60000,51.50000,3.71086,1.57263,0.28920,,,,
2020-02-21 23:09:27 IST,371916,25.20000,88.70000,24.10000,53.40000,3.73218,1.56522,0.29163,,,,
2020-02-21 23:09:44 IST,371917,24.50000,88.30000,24.40000,58.60000,3.73218,1.55053,0.28920,,,,
2020-02-21 23:10:00 IST,371918,25.40000,88.90000,24.60000,52.50000,3.75357,1.54326,0.29163,,,,
2020-02-21 23:10:17 IST,371919,25.20000,88.80000,23.60000,47.20000,3.75357,1.51466,0.29163,,,,
2020-02-21 23:10:34 IST,371920,24.80000,88.60000,23.20000,44.70000,3.75357,1.51466,0.29163,,,,
2020-02-21 23:10:51 IST,371921,24.00000,88.10000,22.80000,46.40000,3.75357,1.51466,0.29163,,,,
2020-02-21 23:11:08 IST,371922,24.90000,88.70000,23.00000,54.20000,3.52239,1.50762,0.29163,,,,
2020-02-21 23:11:25 IST,371923,25.30000,89.00000,22.70000,50.10000,3.73218,1.52174,0.29163,,,,
2020-02-21 23:11:41 IST,371924,24.10000,88.20000,22.10000,43.30000,3.71086,1.55053,0.29163,,,,
2020-02-21 23:11:58 IST,371925,25.30000,88.90000,21.80000,46.30000,3.68962,1.55785,0.29163,,,,
2020-02-21 23:12:39 IST,371926,24.70000,88.60000,21.40000,41.70000,3.71086,1.59518,0.21064,,,,
2020-02-21 23:12:59 IST,371927,24.70000,88.60000,25.10000,47.50000,3.71086,1.58010,0.29163,,,,
2020-02-21 23:13:16 IST,371928,24.10000,88.20000,25.30000,49.10000,3.71086,1.57263,0.28920,,,,
2020-02-21 23:13:33 IST,371929,24.10000,88.10000,26.00000,56.00000,3.71086,1.57263,0.29163,,,,
2020-02-21 23:13:49 IST,371930,24.80000,88.60000,25.20000,46.20000,3.56375,1.57263,0.28436,,,,
2020-02-21 23:14:06 IST,371931,24.80000,88.70000,24.20000,42.50000,3.71086,1.56522,0.28920,,,,
2020-02-21 23:14:23 IST,371932,25.20000,88.90000,23.70000,42.30000,3.71086,1.57263,0.28920,,,,
2020-02-21 23:14:40 IST,371933,25.60000,89.20000,23.10000,41.70000,3.71086,1.56522,0.28920,,,,
2020-02-21 23:14:57 IST,371934,24.60000,88.50000,22.40000,43.20000,3.71086,1.57263,0.28920,,,,
2020-02-21 23:15:14 IST,371935,25.30000,89.00000,21.60000,43.90000,3.68962,1.66563,0.28920,,,,
2020-02-21 23:15:30 IST,371936,24.80000,88.70000,21.30000,41.70000,3.68962,1.58010,0.28920,,,,
2020-02-21 23:15:47 IST,371937,25.10000,88.80000,21.50000,42.00000,3.71086,1.58761,0.28920,,,,
2020-02-21 23:16:04 IST,371938,24.60000,88.50000,22.70000,46.60000,3.71086,1.58761,0.28920,,,,
2020-02-21 23:16:23 IST,371939,25.10000,88.90000,23.80000,44.90000,3.71086,1.57263,0.26333,,,,
2020-02-21 23:16:40 IST,371940,24.60000,88.60000,23.80000,46.10000,3.71086,1.57263,0.28920,,,,
2020-02-21 23:16:57 IST,371941,24.30000,88.40000,23.20000,45.50000,3.73218,1.55053,0.28920,,,,
2020-02-21 23:17:14 IST,371942,25.20000,89.10000,22.00000,40.50000,3.71086,1.55785,0.26561,,,,
2020-02-21 23:17:31 IST,371943,25.40000,89.20000,21.50000,42.10000,3.68962,1.58010,0.29163,,,,
2020-02-21 23:17:48 IST,371944,24.60000,88.70000,21.30000,44.50000,3.68962,1.59518,0.29163,,,,
2020-02-21 23:18:07 IST,371945,25.00000,88.90000,21.20000,42.80000,3.66845,1.61047,0.29163,,,,
2020-02-21 23:18:24 IST,371946,25.30000,89.20000,21.30000,43.30000,3.33988,1.64960,0.21456,,,,
2020-02-21 23:18:41 IST,371947,25.30000,89.20000,21.50000,40.20000,3.62635,1.68189,0.28677,,,,
2020-02-21 23:18:58 IST,371948,25.30000,89.20000,21.10000,41.00000,3.64736,1.74925,0.26107,,,,
2020-02-21 23:19:18 IST,371949,25.10000,89.10000,20.90000,40.30000,3.62635,1.69010,0.28677,,,,
2020-02-21 23:19:35 IST,371950,24.40000,88.70000,22.10000,40.40000,3.64736,1.76670,0.28677,,,,
2020-02-21 23:19:53 IST,371951,25.20000,89.30000,21.90000,39.80000,3.66845,1.75794,0.28677,,,,
2020-02-21 23:20:10 IST,371952,24.50000,88.90000,21.90000,44.50000,3.66845,1.65759,0.28677,,,,
2020-02-21 23:20:27 IST,371953,25.30000,89.50000,22.30000,44.50000,3.46090,1.64166,0.28436,,,,
2020-02-21 23:20:44 IST,371954,24.10000,88.90000,22.00000,46.60000,3.68962,1.64166,0.28677,,,,
2020-02-21 23:21:01 IST,371955,24.70000,89.30000,21.30000,46.60000,3.68962,1.63378,0.28677,,,,
2020-02-21 23:21:18 IST,371956,24.90000,89.40000,21.50000,45.60000,3.68962,1.61819,0.28677,,,,
2020-02-21 23:21:34 IST,371957,24.60000,89.20000,21.50000,41.80000,3.68962,1.61047,0.26107,,,,
2020-02-21 23:21:51 IST,371958,25.30000,89.70000,22.00000,42.60000,3.68962,1.61819,0.28436,,,,
2020-02-21 23:22:08 IST,371959,24.80000,89.40000,22.60000,45.90000,3.66845,1.63378,0.28436,,,,
2020-02-21 23:22:25 IST,371960,25.40000,89.80000,22.00000,44.10000,3.64736,1.65759,0.28436,,,,
2020-02-21 23:22:42 IST,371961,24.00000,88.90000,21.50000,44.00000,3.64736,1.67373,0.28436,,,,
2020-02-21 23:22:59 IST,371962,24.00000,88.90000,21.20000,39.40000,3.46090,1.69010,0.28436,,,,
2020-02-21 23:23:16 IST,371963,24.60000,89.40000,21.60000,40.70000,3.64736,1.68189,0.28436,,,,
2020-02-21 23:23:33 IST,371964,25.10000,89.70000,21.90000,44.90000,3.64736,1.68189,0.28436,,,,
2020-02-21 23:23:50 IST,371965,24.60000,89.40000,21.60000,42.50000,3.64736,1.69010,0.28436,,,,
2020-02-21 23:24:09 IST,371966,24.60000,89.50000,22.00000,40.40000,3.64736,1.69010,0.25881,,,,
2020-02-21 23:24:31 IST,371967,24.40000,89.40000,21.70000,46.40000,3.64736,1.69010,0.28436,,,,
2020-02-21 23:24:48 IST,371968,24.40000,89.40000,21.40000,42.60000,3.44055,1.68189,0.28436,,,,
2020-02-21 23:25:05 IST,371969,24.40000,89.50000,22.00000,40.30000,3.66845,1.67373,0.28436,,,,
2020-02-21 23:25:22 IST,371970,25.20000,90.00000,22.10000,43.30000,3.66845,1.65759,0.28436,,,,
2020-02-21 23:25:39 IST,371971,24.70000,89.80000,21.50000,42.00000,3.66845,1.64960,0.28436,,,,
2020-02-21 23:25:59 IST,371972,24.30000,89.50000,20.90000,40.80000,3.68962,1.64960,0.28677,,,,
2020-02-21 23:26:19 IST,371973,24.40000,89.60000,22.00000,42.90000,3.71086,1.63378,0.28677,,,,
2020-02-21 23:26:36 IST,371974,24.60000,89.80000,21.80000,40.90000,3.71086,1.61047,0.28436,,,,
2020-02-21 23:26:55 IST,371975,23.90000,89.40000,21.30000,43.70000,3.71086,1.61047,0.28677,,,,
2020-02-21 23:27:12 IST,371976,24.60000,89.80000,21.70000,42.60000,3.71086,1.59518,0.28436,,,,
2020-02-21 23:27:32 IST,371977,24.00000,89.50000,21.60000,43.80000,3.30010,1.57263,0.23283,,,,
2020-02-21 23:27:49 IST,371978,24.10000,89.60000,21.70000,43.40000,3.71086,1.58010,0.28920,,,,
2020-02-21 23:28:06 IST,371979,24.20000,89.60000,22.30000,43.40000,3.73218,1.56522,0.28920,,,,
2020-02-21 23:28:23 IST,371980,24.10000,89.70000,22.40000,45.90000,3.71086,1.56522,0.26333,,,,
2020-02-21 23:28:40 IST,371981,24.80000,90.00000,22.00000,41.90000,3.71086,1.57263,0.28677,,,,
2020-02-21 23:28:56 IST,371982,25.20000,90.10000,21.70000,40.60000,3.71086,1.58010,0.28677,,,,
2020-02-21 23:29:13 IST,371983,24.80000,90.10000,22.10000,42.80000,3.73218,1.57263,0.28677,,,,
2020-02-21 23:29:33 IST,371984,24.80000,90.10000,21.80000,42.10000,3.50182,1.55785,0.28920,,,,
2020-02-21 23:29:49 IST,371985,24.30000,90.00000,21.40000,42.40000,3.73218,1.56522,0.28920,,,,
2020-02-21 23:30:06 IST,371986,24.10000,89.90000,22.30000,44.30000,3.73218,1.55053,0.01772,,,,
2020-02-21 23:30:23 IST,371987,24.10000,90.00000,21.80000,42.30000,3.73218,1.56522,0.26333,,,,
2020-02-21 23:30:40 IST,371988,24.90000,90.10000,21.70000,41.20000,3.71086,1.56522,0.28920,,,,
2020-02-21 23:30:57 IST,371989,23.80000,89.70000,21.50000,37.70000,3.71086,1.57263,0.28920,,,,
2020-02-21 23:31:14 IST,371990,24.20000,90.00000,21.70000,44.50000,3.73218,1.57263,0.28920,,,,
2020-02-21 23:31:31 IST,371991,24.10000,90.00000,21.90000,45.10000,3.48132,1.58010,0.28920,,,,
2020-02-21 23:31:48 IST,371992,24.10000,90.00000,22.20000,44.80000,3.68962,1.59518,0.28677,,,,
2020-02-21 23:32:04 IST,371993,24.40000,90.10000,22.20000,47.20000,3.68962,1.60280,0.28677,,,,
2020-02-21 23:32:21 IST,371994,23.90000,89.90000,22.50000,46.60000,3.68962,1.62596,0.01930,,,,
2020-02-21 23:32:38 IST,371995,24.60000,90.10000,21.90000,45.40000,3.68962,1.60280,0.26107,,,,
2020-02-21 23:32:55 IST,371996,25.40000,90.40000,22.20000,45.10000,3.68962,1.58761,0.28677,,,,
2020-02-21 23:33:12 IST,371997,23.90000,89.90000,21.70000,39.10000,3.71086,1.59518,0.28677,,,,
2020-02-21 23:33:29 IST,371998,24.30000,90.00000,21.30000,40.60000,3.66845,1.60280,0.28677,,,,
2020-02-21 23:33:46 IST,371999,25.20000,90.30000,21.40000,48.20000,3.71086,1.58761,0.28677,,,,
2020-02-21 23:34:03 IST,372000,24.40000,90.10000,22.00000,48.00000,3.71086,1.66563,0.28677,,,,
2020-02-21 23:34:20 IST,372001,23.90000,90.00000,22.10000,44.50000,3.71086,1.58010,0.28920,,,,
2020-02-21 23:34:39 IST,372002,23.90000,90.00000,22.90000,49.80000,3.71086,1.58010,0.28920,,,,
2020-02-21 23:35:24 IST,372003,24.00000,90.00000,22.70000,47.30000,3.73218,1.54326,0.28920,,,,
2020-02-21 23:35:41 IST,372004,24.60000,90.20000,23.10000,45.00000,3.75357,1.53604,0.29163,,,,
2020-02-21 23:35:58 IST,372005,24.20000,90.10000,23.10000,42.30000,3.75357,1.54326,0.26333,,,,
2020-02-21 23:36:14 IST,372006,24.00000,90.10000,22.80000,42.80000,3.71086,1.55785,0.28920,,,,
2020-02-21 23:36:31 IST,372007,24.80000,90.40000,22.90000,42.80000,3.68962,1.57263,0.28920,,,,
2020-02-21 23:36:48 IST,372008,24.10000,90.20000,22.80000,42.10000,3.68962,1.59518,0.28920,,,,
2020-02-21 23:37:05 IST,372009,24.20000,90.20000,23.00000,45.10000,3.48132,1.59518,0.28920,,,,
2020-02-21 23:37:22 IST,372010,24.10000,90.20000,23.10000,44.20000,3.68962,1.61047,0.28920,,,,
2020-02-21 23:37:45 IST,372011,24.10000,90.20000,23.80000,49.70000,3.71086,1.58761,0.28920,,,,
2020-02-21 23:38:04 IST,372012,24.10000,90.20000,24.20000,51.60000,3.71086,1.58010,0.28920,,,,
2020-02-21 23:38:24 IST,372013,23.90000,90.20000,23.70000,45.10000,3.71086,1.56522,0.28920,,,,
2020-02-21 23:38:43 IST,372014,24.50000,90.40000,22.50000,43.30000,3.71086,1.56522,0.28920,,,,
2020-02-21 23:39:00 IST,372015,24.40000,90.40000,22.60000,47.10000,3.73218,1.56522,0.26333,,,,
2020-02-21 23:39:17 IST,372016,24.40000,90.40000,22.40000,43.20000,3.71086,1.56522,0.29163,,,,
2020-02-21 23:39:34 IST,372017,24.40000,90.40000,22.80000,45.90000,3.71086,1.56522,0.28920,,,,
2020-02-21 23:39:53 IST,372018,24.00000,90.30000,23.00000,45.10000,3.73218,1.55053,0.29163,,,,
2020-02-21 23:40:10 IST,372019,25.20000,90.60000,22.70000,43.40000,3.75357,1.52887,0.29163,,,,
2020-02-21 23:40:27 IST,372020,25.10000,90.70000,22.90000,43.50000,3.73218,1.51466,0.29163,,,,
2020-02-21 23:40:44 IST,372021,25.30000,90.80000,22.90000,47.00000,3.75357,1.50063,0.29163,,,,
2020-02-21 23:41:00 IST,372022,23.90000,90.30000,23.70000,51.00000,3.52239,1.49368,0.29163,,,,
2020-02-21 23:41:17 IST,372023,24.30000,90.40000,24.00000,49.40000,3.75357,1.50063,0.29163,,,,
