created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2019-12-24 12:11:46 IST,1,26.50000,56.80000,32.70000,41.40000,3.81409,0.25555,0.59017,,,,
2019-12-24 12:11:49 IST,2,26.50000,58.40000,39.50000,51.50000,3.79230,0.25555,0.59017,,,,
2019-12-24 12:11:53 IST,3,26.50000,58.30000,39.40000,51.00000,3.79230,0.25555,0.58544,,,,
2019-12-24 12:11:56 IST,4,26.50000,58.30000,39.70000,49.80000,3.81409,0.25555,0.59017,,,,
2019-12-24 12:12:00 IST,5,26.50000,58.30000,39.80000,49.90000,3.81409,0.25663,0.58544,,,,
2019-12-24 12:12:04 IST,6,26.50000,58.30000,39.70000,51.80000,3.81409,0.25555,0.57606,,,,
2019-12-24 12:12:07 IST,7,26.60000,58.40000,39.50000,50.90000,3.81409,0.25555,0.59017,,,,
2019-12-24 12:12:11 IST,8,26.60000,58.40000,39.20000,49.30000,3.79230,0.25663,0.58544,,,,
2019-12-24 12:12:14 IST,9,26.50000,58.30000,39.10000,49.70000,3.79230,0.25772,0.57142,,,,
2019-12-24 12:12:18 IST,10,26.50000,58.30000,38.60000,48.50000,3.79230,0.25989,0.58544,,,,
2019-12-24 12:12:21 IST,11,26.50000,58.30000,38.50000,49.40000,3.77059,0.26540,0.58544,,,,
2019-12-24 12:12:28 IST,12,26.50000,57.70000,38.00000,49.40000,3.74896,0.27553,0.58544,,,,
2019-12-24 12:12:32 IST,13,26.60000,57.20000,36.90000,47.80000,3.70593,0.30528,0.57606,,,,
2019-12-24 12:12:36 IST,14,26.60000,56.60000,36.10000,43.70000,3.68453,0.31661,0.57606,,,,
2019-12-24 17:09:47 IST,15,26.50000,57.70000,34.40000,44.00000,3.62079,0.87594,0.53084,,,,
2019-12-24 17:09:52 IST,16,25.00000,62.60000,34.40000,44.00000,3.59970,0.87983,0.53084,,,,
2019-12-24 17:09:56 IST,17,25.00000,62.60000,34.40000,44.00000,3.59970,0.89165,0.52646,,,,
2019-12-24 17:09:59 IST,18,24.90000,62.40000,63.40000,91.10000,3.59970,0.87983,0.52646,,,,
2019-12-24 17:10:03 IST,19,24.90000,62.40000,63.60000,89.70000,3.59970,0.87983,0.52646,,,,
2019-12-24 17:10:07 IST,20,24.90000,62.40000,63.50000,86.60000,3.59970,0.88375,0.52646,,,,
2019-12-24 17:10:13 IST,21,24.90000,62.40000,62.90000,85.50000,3.59970,0.88375,0.52646,,,,
